"timeInterval","vehicleCount"
"2022-01-01 7:0:0",589
"2022-02-01 7:15:0",561
"2022-03-01 7:30:0",640
"2022-04-01 7:45:0",656
"2022-05-01 8:0:0",727
"2022-06-01 8:15:0",697
"2022-07-01 8:30:0",640
"2022-08-01 8:45:0",599
"2022-09-01 9:0:0",568
"2022-10-01 9:15:0",577
"2022-11-01 9:30:0",553
"2022-12-01 9:45:0",582
"2022-13-01 10:0:0",600
"2022-14-01 10:15:0",566
"2022-15-01 10:30:0",653
"2022-16-01 10:45:0",673
"2022-17-01 11:0:0",742
"2022-18-01 11:15:0",716
"2022-19-01 11:30:0",660
