time,vehc
12:00:45,0
12:02:14,0
12:03:33,0
12:04:50,0
12:06:09,0
12:07:29,0
12:08:48,0
12:10:06,0
12:11:25,0
12:12:44,0
12:14:01,0
12:15:20,0
12:16:39,0
12:17:57,0
12:19:16,0
12:20:34,0
12:21:53,0
12:23:11,0
12:24:31,0
12:25:50,0
12:27:09,0
12:28:27,0
12:29:46,0
12:31:05,0
12:32:24,0
12:33:44,0
12:35:02,0
12:36:20,0
12:37:40,0
12:38:58,0
12:40:22,0
12:41:41,0
12:42:59,0
12:44:17,0
12:45:36,0
12:46:55,0
12:48:13,0
12:49:33,0
12:50:51,0
12:52:12,0
12:53:29,0
12:54:48,0
12:56:08,0
12:57:25,0
12:58:46,0
1:00:05,0
1:01:24,0
1:02:43,0
1:04:02,0
1:05:22,0
1:06:40,0
1:08:00,0
1:09:19,0
1:10:37,0
1:11:56,0
1:13:14,0
1:14:34,0
1:15:52,0
1:17:12,0
1:18:30,0
1:19:48,0
1:21:08,0
1:22:27,0
1:23:45,0
1:25:04,0
1:26:24,1
1:27:43,0
1:29:00,0
1:30:20,0
1:31:38,0
1:32:57,0
1:34:16,0
1:35:36,0
1:36:55,0
1:38:14,0
1:39:32,0
1:40:52,0
1:42:09,0
1:43:28,0
1:44:47,0
1:46:05,0
1:47:23,0
1:48:42,0
1:50:02,0
1:51:20,0
1:52:40,0
1:53:59,0
1:55:16,0
1:56:36,0
1:57:54,0
1:59:13,0
2:00:32,0
2:01:51,0
2:03:10,0
2:04:28,0
2:05:46,0
2:07:05,0
2:08:23,0
2:09:42,0
2:11:00,0
2:12:18,0
2:13:37,0
2:14:57,0
2:16:16,0
2:18:52,0
2:20:13,0
2:21:31,0
2:22:50,0
2:24:09,0
2:25:29,0
2:26:46,0
2:28:07,0
2:29:25,0
2:30:44,0
2:32:01,0
2:33:20,0
2:34:40,0
2:35:59,0
2:37:17,0
2:38:36,0
2:39:56,0
2:41:15,0
2:42:32,1
2:43:51,0
2:45:09,0
2:46:28,0
2:47:48,0
2:49:07,0
2:50:27,0
2:51:45,0
2:53:04,0
2:54:24,0
2:55:41,0
2:57:00,0
2:58:18,0
2:59:39,0
3:00:58,0
3:02:16,0
3:03:36,0
3:04:55,0
3:06:16,0
3:07:34,0
3:08:52,0
3:10:11,0
3:11:30,0
3:12:49,0
3:14:09,0
3:15:28,0
3:16:47,0
3:18:07,0
3:19:26,0
3:20:44,0
3:22:03,0
3:23:24,0
3:24:42,0
3:26:01,0
3:27:21,0
3:28:39,0
3:29:57,0
3:31:16,0
3:32:36,0
3:33:56,0
3:35:14,0
3:36:33,0
3:37:52,0
3:39:10,0
3:40:28,0
3:41:48,0
3:43:06,0
3:44:26,0
3:45:44,0
3:47:05,0
3:48:24,0
3:49:44,0
3:51:03,0
3:52:22,0
3:53:40,0
3:54:59,0
3:56:19,0
3:57:38,0
3:58:57,0
4:00:16,0
4:01:36,0
4:02:55,1
4:04:14,0
4:05:34,0
4:06:52,0
4:08:11,0
4:09:30,0
4:10:49,0
4:12:09,0
4:13:27,0
4:14:47,0
4:16:05,0
4:17:26,0
4:18:44,0
4:20:04,1
4:21:22,0
4:22:41,0
4:24:00,0
4:25:19,0
4:26:36,0
4:27:56,0
4:29:14,0
4:30:35,0
4:31:54,0
4:33:12,0
4:34:30,0
4:35:49,0
4:37:09,0
4:38:27,0
4:39:46,0
4:41:06,0
4:42:24,0
4:43:44,0
4:45:02,0
4:46:20,0
4:47:39,0
4:48:59,0
4:50:18,0
4:51:38,1
4:52:59,0
4:54:18,0
